Month,State,District,Age_Group,Gender,Enrolment_Count,Rejection_Count
2023-01,Bihar,Darbhanga,0-5,Female,1,0
2023-01,Bihar,Darbhanga,0-5,Male,1,0
2023-01,Bihar,Darbhanga,0-5,Transgender,1,0
2023-01,Bihar,Darbhanga,18+,Male,1,0
2023-01,Bihar,Darbhanga,5-18,Female,1,0
2023-01,Bihar,Darbhanga,5-18,Male,1,0
2023-01,Bihar,Darbhanga,5-18,Transgender,1,0
2023-01,Bihar,Gaya,0-5,Female,2,0
2023-01,Bihar,Gaya,0-5,Male,2,0
2023-01,Bihar,Gaya,0-5,Transgender,1,0
2023-01,Bihar,Gaya,5-18,Female,1,0
2023-01,Bihar,Gaya,5-18,Male,2,0
2023-01,Bihar,Muzaffarpur,0-5,Male,1,1
2023-01,Bihar,Muzaffarpur,0-5,Transgender,3,0
2023-01,Bihar,Muzaffarpur,18+,Male,1,0
2023-01,Bihar,Muzaffarpur,5-18,Female,1,0
2023-01,Bihar,Patna,0-5,Transgender,1,0
2023-01,Bihar,Patna,18+,Transgender,1,0
2023-01,Bihar,Purnia,0-5,Female,3,0
2023-01,Bihar,Purnia,5-18,Male,1,0
2023-01,Karnataka,Bangalore Urban,0-5,Male,1,0
2023-01,Karnataka,Bangalore Urban,0-5,Transgender,3,0
2023-01,Karnataka,Bangalore Urban,5-18,Transgender,2,0
2023-01,Karnataka,Belgaum,0-5,Female,4,0
2023-01,Karnataka,Belgaum,0-5,Male,1,0
2023-01,Karnataka,Belgaum,0-5,Transgender,2,0
2023-01,Karnataka,Belgaum,5-18,Transgender,1,0
2023-01,Karnataka,Dakshina Kannada,5-18,Female,2,0
2023-01,Karnataka,Kalaburagi,0-5,Transgender,2,0
2023-01,Karnataka,Kalaburagi,18+,Transgender,1,1
2023-01,Karnataka,Kalaburagi,5-18,Female,1,0
2023-01,Karnataka,Kalaburagi,5-18,Male,1,1
2023-01,Karnataka,Kalaburagi,5-18,Transgender,1,0
2023-01,Karnataka,Mysore,0-5,Female,1,0
2023-01,Karnataka,Mysore,18+,Transgender,1,0
2023-01,Karnataka,Mysore,5-18,Transgender,1,0
2023-01,Kerala,Ernakulam,0-5,Female,1,0
2023-01,Kerala,Ernakulam,0-5,Male,1,0
2023-01,Kerala,Ernakulam,5-18,Male,1,0
2023-01,Kerala,Kozhikode,0-5,Female,2,0
2023-01,Kerala,Kozhikode,0-5,Male,1,0
2023-01,Kerala,Kozhikode,0-5,Transgender,1,0
2023-01,Kerala,Kozhikode,5-18,Female,1,0
2023-01,Kerala,Malappuram,0-5,Female,1,0
2023-01,Kerala,Malappuram,0-5,Male,1,0
2023-01,Kerala,Malappuram,0-5,Transgender,3,0
2023-01,Kerala,Malappuram,18+,Male,1,0
2023-01,Kerala,Malappuram,5-18,Male,2,0
2023-01,Kerala,Malappuram,5-18,Transgender,2,0
2023-01,Kerala,Thiruvananthapuram,0-5,Female,1,0
2023-01,Kerala,Thiruvananthapuram,0-5,Male,1,0
2023-01,Kerala,Thiruvananthapuram,0-5,Transgender,2,0
2023-01,Kerala,Thiruvananthapuram,18+,Male,2,0
2023-01,Kerala,Thiruvananthapuram,5-18,Female,1,0
2023-01,Kerala,Thiruvananthapuram,5-18,Male,1,0
2023-01,Kerala,Thrissur,0-5,Male,1,0
2023-01,Kerala,Thrissur,0-5,Transgender,4,0
2023-01,Kerala,Thrissur,18+,Male,1,0
2023-01,Kerala,Thrissur,5-18,Female,1,0
2023-01,Kerala,Thrissur,5-18,Male,1,0
2023-01,Maharashtra,Mumbai,0-5,Female,2,0
2023-01,Maharashtra,Mumbai,0-5,Male,1,0
2023-01,Maharashtra,Mumbai,0-5,Transgender,2,0
2023-01,Maharashtra,Mumbai,5-18,Female,1,0
2023-01,Maharashtra,Mumbai,5-18,Male,1,0
2023-01,Maharashtra,Mumbai,5-18,Transgender,1,0
2023-01,Maharashtra,Nagpur,0-5,Male,3,0
2023-01,Maharashtra,Nagpur,0-5,Transgender,3,0
2023-01,Maharashtra,Nagpur,5-18,Female,1,0
2023-01,Maharashtra,Nagpur,5-18,Transgender,3,0
2023-01,Maharashtra,Nashik,0-5,Female,2,1
2023-01,Maharashtra,Nashik,0-5,Transgender,2,0
2023-01,Maharashtra,Nashik,18+,Transgender,1,0
2023-01,Maharashtra,Nashik,5-18,Transgender,1,0
2023-01,Maharashtra,Pune,0-5,Female,1,0
2023-01,Maharashtra,Pune,0-5,Transgender,3,0
2023-01,Maharashtra,Pune,5-18,Male,2,0
2023-01,Maharashtra,Pune,5-18,Transgender,1,0
2023-01,Maharashtra,Thane,0-5,Female,2,0
2023-01,Maharashtra,Thane,0-5,Transgender,1,0
2023-01,Maharashtra,Thane,18+,Female,1,0
2023-01,Maharashtra,Thane,5-18,Male,1,0
2023-01,Uttar Pradesh,Gautam Buddha Nagar,0-5,Female,2,0
2023-01,Uttar Pradesh,Gautam Buddha Nagar,0-5,Male,2,0
2023-01,Uttar Pradesh,Gautam Buddha Nagar,0-5,Transgender,1,0
2023-01,Uttar Pradesh,Gautam Buddha Nagar,5-18,Female,2,0
2023-01,Uttar Pradesh,Gautam Buddha Nagar,5-18,Male,1,0
2023-01,Uttar Pradesh,Kanpur,0-5,Male,1,0
2023-01,Uttar Pradesh,Kanpur,0-5,Transgender,2,0
2023-01,Uttar Pradesh,Kanpur,5-18,Female,1,0
2023-01,Uttar Pradesh,Lucknow,0-5,Female,1,0
2023-01,Uttar Pradesh,Lucknow,0-5,Male,1,0
2023-01,Uttar Pradesh,Lucknow,0-5,Transgender,2,0
2023-01,Uttar Pradesh,Prayagraj,0-5,Female,2,0
2023-01,Uttar Pradesh,Prayagraj,0-5,Male,1,0
2023-01,Uttar Pradesh,Prayagraj,0-5,Transgender,1,0
2023-01,Uttar Pradesh,Prayagraj,18+,Male,1,0
2023-01,Uttar Pradesh,Prayagraj,5-18,Male,1,0
2023-01,Uttar Pradesh,Prayagraj,5-18,Transgender,1,0
2023-01,Uttar Pradesh,Varanasi,0-5,Female,1,0
2023-01,Uttar Pradesh,Varanasi,0-5,Male,1,0
2023-01,Uttar Pradesh,Varanasi,0-5,Transgender,2,0
