Month,State,District,Update_Type,Gender,Date,Count
2023-01,Bihar,Darbhanga,Address,Female,2023-01-162023-01-082023-01-22,3
2023-01,Bihar,Darbhanga,Address,Male,2023-01-312023-01-192023-01-112023-01-272023-01-29,5
2023-01,Bihar,Darbhanga,Biometric,Female,2023-01-132023-01-28,2
2023-01,Bihar,Darbhanga,Biometric,Male,2023-01-312023-01-01,2
2023-01,Bihar,Darbhanga,Mobile,Female,2023-01-212023-01-20,2
2023-01,Bihar,Darbhanga,Mobile,Male,2023-01-152023-01-222023-01-28,3
2023-01,Bihar,Gaya,Address,Female,2023-01-05,1
2023-01,Bihar,Gaya,Biometric,Female,2023-01-022023-01-23,2
2023-01,Bihar,Gaya,DOB,Male,2023-01-16,1
2023-01,Bihar,Gaya,Mobile,Female,2023-01-01,1
2023-01,Bihar,Muzaffarpur,Address,Female,2023-01-062023-01-24,2
2023-01,Bihar,Muzaffarpur,Address,Male,2023-01-282023-01-072023-01-05,3
2023-01,Bihar,Muzaffarpur,Biometric,Male,2023-01-03,1
2023-01,Bihar,Muzaffarpur,DOB,Female,2023-01-28,1
2023-01,Bihar,Muzaffarpur,Mobile,Female,2023-01-072023-01-202023-01-10,3
2023-01,Bihar,Muzaffarpur,Mobile,Male,2023-01-072023-01-10,2
2023-01,Bihar,Patna,Address,Female,2023-01-142023-01-14,2
2023-01,Bihar,Patna,Address,Male,2023-01-042023-01-122023-01-13,3
2023-01,Bihar,Patna,Biometric,Male,2023-01-15,1
2023-01,Bihar,Patna,Mobile,Female,2023-01-31,1
2023-01,Bihar,Patna,Mobile,Male,2023-01-19,1
2023-01,Bihar,Purnia,Address,Female,2023-01-20,1
2023-01,Bihar,Purnia,Address,Male,2023-01-142023-01-252023-01-12,3
2023-01,Bihar,Purnia,Biometric,Female,2023-01-022023-01-07,2
2023-01,Bihar,Purnia,Biometric,Male,2023-01-182023-01-28,2
2023-01,Bihar,Purnia,Mobile,Female,2023-01-182023-01-092023-01-09,3
2023-01,Bihar,Purnia,Mobile,Male,2023-01-052023-01-012023-01-222023-01-10,4
2023-01,Bihar,Purnia,Name,Male,2023-01-05,1
2023-01,Karnataka,Bangalore Urban,Address,Female,2023-01-26,1
2023-01,Karnataka,Bangalore Urban,Address,Male,2023-01-24,1
2023-01,Karnataka,Bangalore Urban,Biometric,Female,2023-01-282023-01-26,2
2023-01,Karnataka,Bangalore Urban,DOB,Female,2023-01-25,1
2023-01,Karnataka,Bangalore Urban,Mobile,Female,2023-01-10,1
2023-01,Karnataka,Bangalore Urban,Mobile,Male,2023-01-202023-01-112023-01-072023-01-19,4
2023-01,Karnataka,Belgaum,Address,Female,2023-01-18,1
2023-01,Karnataka,Belgaum,Address,Male,2023-01-162023-01-11,2
2023-01,Karnataka,Belgaum,Biometric,Female,2023-01-142023-01-15,2
2023-01,Karnataka,Belgaum,Mobile,Female,2023-01-04,1
2023-01,Karnataka,Belgaum,Mobile,Male,2023-01-152023-01-282023-01-11,3
2023-01,Karnataka,Belgaum,Name,Female,2023-01-24,1
2023-01,Karnataka,Dakshina Kannada,Address,Female,2023-01-182023-01-29,2
2023-01,Karnataka,Dakshina Kannada,Address,Male,2023-01-10,1
2023-01,Karnataka,Dakshina Kannada,Biometric,Female,2023-01-24,1
2023-01,Karnataka,Dakshina Kannada,Biometric,Male,2023-01-29,1
2023-01,Karnataka,Dakshina Kannada,DOB,Female,2023-01-26,1
2023-01,Karnataka,Dakshina Kannada,Mobile,Female,2023-01-292023-01-24,2
2023-01,Karnataka,Dakshina Kannada,Mobile,Male,2023-01-012023-01-21,2
